episode: 500, epsilon: 0.9700000000000255, average steps: 5.424, maximum length: 7, average length: 4.222, average reward: 0.14, average loss: 0.5673328243670099
episode: 1400, epsilon: 0.9160000000000714, average steps: 5.05, maximum length: 7, average length: 4.19, average reward: 0.0, average loss: 0.34603562774309554
episode: 1500, epsilon: 0.9100000000000765, average steps: 5.62, maximum length: 6, average length: 4.18, average reward: -0.08, average loss: 0.3297009182579358
episode: 1600, epsilon: 0.9040000000000816, average steps: 5.19, maximum length: 7, average length: 4.19, average reward: 0.0, average loss: 0.3332359223257261
episode: 1700, epsilon: 0.8980000000000867, average steps: 5.84, maximum length: 6, average length: 4.1, average reward: -0.49, average loss: 0.3274310536520317
episode: 1800, epsilon: 0.8920000000000918, average steps: 5.52, maximum length: 7, average length: 4.19, average reward: 0.01, average loss: 0.3302878119142854
episode: 1900, epsilon: 0.8860000000000969, average steps: 5.49, maximum length: 7, average length: 4.26, average reward: 0.35, average loss: 0.33199760322565597
episode: 2000, epsilon: 0.880000000000102, average steps: 5.41, maximum length: 6, average length: 4.16, average reward: -0.19, average loss: 0.31706240770806376
episode: 2100, epsilon: 0.8740000000001071, average steps: 5.86, maximum length: 5, average length: 4.17, average reward: -0.15, average loss: 0.3227507613491514
episode: 2200, epsilon: 0.8680000000001122, average steps: 4.89, maximum length: 6, average length: 4.17, average reward: -0.12, average loss: 0.29693103301407175
episode: 2300, epsilon: 0.8620000000001173, average steps: 5.19, maximum length: 6, average length: 4.14, average reward: -0.29, average loss: 0.31357923640248314
episode: 2400, epsilon: 0.8560000000001224, average steps: 5.52, maximum length: 6, average length: 4.22, average reward: 0.14, average loss: 0.3105748869108367
episode: 2500, epsilon: 0.8500000000001275, average steps: 5.5, maximum length: 8, average length: 4.23, average reward: 0.22, average loss: 0.32148523694926884
episode: 2600, epsilon: 0.8440000000001326, average steps: 5.82, maximum length: 6, average length: 4.2, average reward: 0.01, average loss: 0.3166046917609942
episode: 2700, epsilon: 0.8380000000001377, average steps: 5.58, maximum length: 5, average length: 4.16, average reward: -0.2, average loss: 0.32719883519083165
episode: 2800, epsilon: 0.8320000000001428, average steps: 4.65, maximum length: 5, average length: 4.2, average reward: 0.0, average loss: 0.3151188849826858
episode: 2900, epsilon: 0.826000000000148, average steps: 5.69, maximum length: 6, average length: 4.26, average reward: 0.34, average loss: 0.31230633655540335
episode: 3000, epsilon: 0.820000000000153, average steps: 5.15, maximum length: 6, average length: 4.21, average reward: 0.06, average loss: 0.33730904222453334
episode: 3100, epsilon: 0.8140000000001582, average steps: 5.26, maximum length: 8, average length: 4.22, average reward: 0.17, average loss: 0.32157430896042827
episode: 3200, epsilon: 0.8080000000001633, average steps: 5.54, maximum length: 6, average length: 4.17, average reward: -0.14, average loss: 0.3312742103759646
episode: 3300, epsilon: 0.8020000000001684, average steps: 5.48, maximum length: 7, average length: 4.27, average reward: 0.44, average loss: 0.3140583886123531
episode: 3400, epsilon: 0.7960000000001735, average steps: 5.15, maximum length: 6, average length: 4.16, average reward: -0.19, average loss: 0.3158785237643562
episode: 3500, epsilon: 0.7900000000001786, average steps: 5.85, maximum length: 6, average length: 4.15, average reward: -0.23, average loss: 0.31559381132233866
episode: 3600, epsilon: 0.7840000000001837, average steps: 5.2, maximum length: 6, average length: 4.13, average reward: -0.33, average loss: 0.3350481739900086
episode: 3700, epsilon: 0.7780000000001888, average steps: 5.38, maximum length: 6, average length: 4.19, average reward: -0.03, average loss: 0.3188113929484755
episode: 3800, epsilon: 0.7720000000001939, average steps: 5.36, maximum length: 7, average length: 4.21, average reward: 0.11, average loss: 0.3152494687031783
episode: 3900, epsilon: 0.766000000000199, average steps: 5.71, maximum length: 6, average length: 4.21, average reward: 0.07, average loss: 0.3266738217080497
episode: 4000, epsilon: 0.7600000000002041, average steps: 6.13, maximum length: 7, average length: 4.19, average reward: 0.0, average loss: 0.3228593780042107
episode: 4100, epsilon: 0.7540000000002092, average steps: 5.44, maximum length: 6, average length: 4.14, average reward: -0.28, average loss: 0.33460672367431576
episode: 4200, epsilon: 0.7480000000002143, average steps: 5.0, maximum length: 6, average length: 4.22, average reward: 0.15, average loss: 0.3185595928143302
episode: 4300, epsilon: 0.7420000000002194, average steps: 5.08, maximum length: 6, average length: 4.21, average reward: 0.06, average loss: 0.3079246162168795
episode: 4400, epsilon: 0.7360000000002245, average steps: 5.14, maximum length: 6, average length: 4.19, average reward: -0.03, average loss: 0.33358469839802474
episode: 4500, epsilon: 0.7300000000002296, average steps: 5.19, maximum length: 6, average length: 4.16, average reward: -0.18, average loss: 0.3079442017928394
episode: 4600, epsilon: 0.7240000000002347, average steps: 5.88, maximum length: 5, average length: 4.12, average reward: -0.4, average loss: 0.31580976041888886
episode: 4700, epsilon: 0.7180000000002398, average steps: 5.21, maximum length: 6, average length: 4.21, average reward: 0.09, average loss: 0.32494847340885635
episode: 4800, epsilon: 0.7120000000002449, average steps: 5.16, maximum length: 5, average length: 4.13, average reward: -0.35, average loss: 0.3137647156914865
episode: 4900, epsilon: 0.70600000000025, average steps: 5.9, maximum length: 6, average length: 4.17, average reward: -0.14, average loss: 0.31057128543313517
episode: 5000, epsilon: 0.7000000000002551, average steps: 5.34, maximum length: 6, average length: 4.2, average reward: 0.03, average loss: 0.32083200175719107
episode: 5100, epsilon: 0.6940000000002602, average steps: 5.11, maximum length: 7, average length: 4.13, average reward: -0.32, average loss: 0.3098602689211073
episode: 5200, epsilon: 0.6880000000002653, average steps: 6.63, maximum length: 6, average length: 4.15, average reward: -0.24, average loss: 0.3068992085924095
episode: 5300, epsilon: 0.6820000000002704, average steps: 5.35, maximum length: 6, average length: 4.22, average reward: 0.12, average loss: 0.30020863655449365
episode: 5400, epsilon: 0.6760000000002755, average steps: 5.39, maximum length: 6, average length: 4.18, average reward: -0.09, average loss: 0.31855655697510143
episode: 5500, epsilon: 0.6700000000002806, average steps: 5.05, maximum length: 6, average length: 4.16, average reward: -0.19, average loss: 0.30805698730737185
episode: 5600, epsilon: 0.6640000000002857, average steps: 5.73, maximum length: 6, average length: 4.18, average reward: -0.08, average loss: 0.3036632848043615
episode: 5700, epsilon: 0.6580000000002908, average steps: 6.15, maximum length: 5, average length: 4.1, average reward: -0.5, average loss: 0.2877410491657769
episode: 5800, epsilon: 0.6520000000002959, average steps: 5.19, maximum length: 6, average length: 4.2, average reward: 0.02, average loss: 0.3018018868992954
episode: 5900, epsilon: 0.646000000000301, average steps: 4.61, maximum length: 6, average length: 4.14, average reward: -0.29, average loss: 0.2983728257036575
episode: 6000, epsilon: 0.6400000000003061, average steps: 5.46, maximum length: 7, average length: 4.18, average reward: -0.06, average loss: 0.29010306851171164
episode: 6100, epsilon: 0.6340000000003112, average steps: 4.96, maximum length: 6, average length: 4.1, average reward: -0.49, average loss: 0.3049540383303279
episode: 6200, epsilon: 0.6280000000003163, average steps: 5.13, maximum length: 8, average length: 4.18, average reward: -0.03, average loss: 0.3051009924724159
episode: 6300, epsilon: 0.6220000000003214, average steps: 5.19, maximum length: 6, average length: 4.13, average reward: -0.33, average loss: 0.30698271704230956
episode: 6400, epsilon: 0.6160000000003265, average steps: 5.47, maximum length: 8, average length: 4.23, average reward: 0.22, average loss: 0.29783779049353104
episode: 6500, epsilon: 0.6100000000003316, average steps: 5.84, maximum length: 8, average length: 4.33, average reward: 0.86, average loss: 0.3080019168739753
episode: 6600, epsilon: 0.6040000000003367, average steps: 5.77, maximum length: 5, average length: 4.11, average reward: -0.45, average loss: 0.3059275747199279
episode: 6700, epsilon: 0.5980000000003418, average steps: 5.04, maximum length: 5, average length: 4.13, average reward: -0.35, average loss: 0.3005116249524069
episode: 6800, epsilon: 0.5920000000003469, average steps: 5.62, maximum length: 7, average length: 4.29, average reward: 0.54, average loss: 0.3091879081024206
episode: 6900, epsilon: 0.586000000000352, average steps: 6.2, maximum length: 7, average length: 4.26, average reward: 0.38, average loss: 0.3020034412951293
episode: 7000, epsilon: 0.5800000000003571, average steps: 5.51, maximum length: 6, average length: 4.18, average reward: -0.08, average loss: 0.3232022538262434
episode: 7100, epsilon: 0.5740000000003622, average steps: 5.87, maximum length: 6, average length: 4.15, average reward: -0.24, average loss: 0.30685973833430474
episode: 7200, epsilon: 0.5680000000003673, average steps: 5.12, maximum length: 5, average length: 4.12, average reward: -0.4, average loss: 0.30679505304252785
episode: 7300, epsilon: 0.5620000000003724, average steps: 5.97, maximum length: 6, average length: 4.21, average reward: 0.09, average loss: 0.3102340516603695
episode: 7400, epsilon: 0.5560000000003775, average steps: 6.0, maximum length: 7, average length: 4.25, average reward: 0.33, average loss: 0.2984613631089572
episode: 7500, epsilon: 0.5500000000003826, average steps: 5.74, maximum length: 7, average length: 4.22, average reward: 0.14, average loss: 0.31161330850209007
episode: 7600, epsilon: 0.5440000000003877, average steps: 5.39, maximum length: 6, average length: 4.25, average reward: 0.28, average loss: 0.31658999698746254
episode: 7700, epsilon: 0.5380000000003928, average steps: 5.51, maximum length: 6, average length: 4.15, average reward: -0.24, average loss: 0.31370226254739214
episode: 7800, epsilon: 0.5320000000003979, average steps: 5.01, maximum length: 6, average length: 4.14, average reward: -0.28, average loss: 0.32941018641424613
episode: 7900, epsilon: 0.526000000000403, average steps: 5.83, maximum length: 6, average length: 4.27, average reward: 0.39, average loss: 0.29784887697310475
episode: 8000, epsilon: 0.5200000000004081, average steps: 5.02, maximum length: 6, average length: 4.14, average reward: -0.29, average loss: 0.30391134002101866
episode: 8100, epsilon: 0.5140000000004132, average steps: 5.41, maximum length: 6, average length: 4.2, average reward: 0.02, average loss: 0.3056253973460627
episode: 8200, epsilon: 0.5080000000004183, average steps: 5.84, maximum length: 6, average length: 4.19, average reward: -0.04, average loss: 0.3169949006795371
episode: 8300, epsilon: 0.5020000000004234, average steps: 5.42, maximum length: 6, average length: 4.2, average reward: 0.01, average loss: 0.3205947635779414
episode: 8400, epsilon: 0.4960000000004248, average steps: 5.24, maximum length: 6, average length: 4.25, average reward: 0.27, average loss: 0.3327621517881698
episode: 8500, epsilon: 0.4900000000004244, average steps: 5.85, maximum length: 6, average length: 4.12, average reward: -0.39, average loss: 0.32134486602653617
episode: 8600, epsilon: 0.4840000000004239, average steps: 5.88, maximum length: 8, average length: 4.23, average reward: 0.25, average loss: 0.310559950621826
episode: 8700, epsilon: 0.4780000000004235, average steps: 5.54, maximum length: 6, average length: 4.22, average reward: 0.11, average loss: 0.3104413017603824
episode: 8800, epsilon: 0.472000000000423, average steps: 4.85, maximum length: 7, average length: 4.22, average reward: 0.14, average loss: 0.3135565097697143
episode: 8900, epsilon: 0.4660000000004226, average steps: 6.05, maximum length: 6, average length: 4.19, average reward: -0.03, average loss: 0.30827870595114126
episode: 9000, epsilon: 0.4600000000004221, average steps: 5.49, maximum length: 7, average length: 4.19, average reward: 0.01, average loss: 0.31765142003611596
episode: 9100, epsilon: 0.4540000000004217, average steps: 5.28, maximum length: 5, average length: 4.19, average reward: -0.05, average loss: 0.3026614822470382
episode: 9200, epsilon: 0.44800000000042123, average steps: 5.05, maximum length: 7, average length: 4.15, average reward: -0.21, average loss: 0.3222167766259235
episode: 9300, epsilon: 0.4420000000004208, average steps: 5.87, maximum length: 7, average length: 4.24, average reward: 0.26, average loss: 0.3190574229366456
episode: 9400, epsilon: 0.43600000000042033, average steps: 4.8, maximum length: 6, average length: 4.2, average reward: 0.01, average loss: 0.3120353996198067
episode: 9500, epsilon: 0.4300000000004199, average steps: 5.71, maximum length: 6, average length: 4.28, average reward: 0.44, average loss: 0.29014088068582755
episode: 9600, epsilon: 0.42400000000041943, average steps: 5.51, maximum length: 6, average length: 4.2, average reward: 0.02, average loss: 0.32087682482560326
episode: 9700, epsilon: 0.418000000000419, average steps: 5.42, maximum length: 7, average length: 4.2, average reward: 0.04, average loss: 0.3242620490747324
episode: 9800, epsilon: 0.41200000000041853, average steps: 5.73, maximum length: 6, average length: 4.25, average reward: 0.28, average loss: 0.3302109896835542
episode: 9900, epsilon: 0.4060000000004181, average steps: 5.55, maximum length: 5, average length: 4.17, average reward: -0.15, average loss: 0.31664608469359296
episode: 10000, epsilon: 0.40000000000041763, average steps: 5.45, maximum length: 5, average length: 4.18, average reward: -0.1, average loss: 0.30807430397584573
episode: 10100, epsilon: 0.3940000000004172, average steps: 6.22, maximum length: 7, average length: 4.26, average reward: 0.35, average loss: 0.3195446788579265
episode: 10200, epsilon: 0.38800000000041673, average steps: 5.99, maximum length: 7, average length: 4.26, average reward: 0.35, average loss: 0.3322238446713597
episode: 10300, epsilon: 0.3820000000004163, average steps: 6.28, maximum length: 6, average length: 4.17, average reward: -0.13, average loss: 0.3200527534174317
episode: 10400, epsilon: 0.37600000000041583, average steps: 5.93, maximum length: 7, average length: 4.21, average reward: 0.09, average loss: 0.31924562040266063
episode: 10500, epsilon: 0.3700000000004154, average steps: 5.77, maximum length: 7, average length: 4.17, average reward: -0.1, average loss: 0.329744761280365
episode: 10600, epsilon: 0.36400000000041494, average steps: 5.33, maximum length: 6, average length: 4.18, average reward: -0.08, average loss: 0.3180482795764285
episode: 10700, epsilon: 0.3580000000004145, average steps: 5.76, maximum length: 7, average length: 4.25, average reward: 0.29, average loss: 0.31591288471355483
episode: 10800, epsilon: 0.35200000000041404, average steps: 5.33, maximum length: 6, average length: 4.13, average reward: -0.34, average loss: 0.3084650744585849
episode: 10900, epsilon: 0.3460000000004136, average steps: 5.83, maximum length: 7, average length: 4.21, average reward: 0.08, average loss: 0.3120901421478181
episode: 11000, epsilon: 0.34000000000041314, average steps: 5.47, maximum length: 7, average length: 4.22, average reward: 0.14, average loss: 0.3091625789949508
episode: 11100, epsilon: 0.3340000000004127, average steps: 5.86, maximum length: 6, average length: 4.29, average reward: 0.49, average loss: 0.3267971075135979
episode: 11200, epsilon: 0.32800000000041224, average steps: 5.02, maximum length: 5, average length: 4.14, average reward: -0.3, average loss: 0.29753214084365504
episode: 11300, epsilon: 0.3220000000004118, average steps: 4.91, maximum length: 6, average length: 4.13, average reward: -0.34, average loss: 0.30733678408489806
episode: 11400, epsilon: 0.31600000000041134, average steps: 5.39, maximum length: 9, average length: 4.17, average reward: -0.05, average loss: 0.3241008148221709
episode: 11500, epsilon: 0.3100000000004109, average steps: 5.17, maximum length: 5, average length: 4.17, average reward: -0.15, average loss: 0.31958645932373203
episode: 11600, epsilon: 0.30400000000041044, average steps: 5.82, maximum length: 6, average length: 4.25, average reward: 0.26, average loss: 0.31040205149597305
episode: 11700, epsilon: 0.29800000000041, average steps: 5.44, maximum length: 6, average length: 4.18, average reward: -0.08, average loss: 0.31959256425840094
episode: 11800, epsilon: 0.29200000000040954, average steps: 5.6, maximum length: 7, average length: 4.18, average reward: -0.05, average loss: 0.3114849868551898
episode: 11900, epsilon: 0.2860000000004091, average steps: 5.71, maximum length: 6, average length: 4.25, average reward: 0.29, average loss: 0.31802186398915666
episode: 12000, epsilon: 0.28000000000040864, average steps: 5.63, maximum length: 6, average length: 4.2, average reward: 0.04, average loss: 0.3097992218254617
episode: 12100, epsilon: 0.2740000000004082, average steps: 5.81, maximum length: 6, average length: 4.19, average reward: 0.0, average loss: 0.2968740234843237
episode: 12200, epsilon: 0.26800000000040775, average steps: 5.17, maximum length: 6, average length: 4.2, average reward: 0.02, average loss: 0.3262488451464466
episode: 12300, epsilon: 0.2620000000004073, average steps: 4.99, maximum length: 6, average length: 4.25, average reward: 0.28, average loss: 0.32267869587717823
episode: 12400, epsilon: 0.25600000000040685, average steps: 5.85, maximum length: 8, average length: 4.35, average reward: 0.86, average loss: 0.3281884097319189
episode: 12500, epsilon: 0.2500000000004064, average steps: 5.32, maximum length: 6, average length: 4.17, average reward: -0.13, average loss: 0.3262323398474082
episode: 12600, epsilon: 0.24400000000040595, average steps: 5.62, maximum length: 6, average length: 4.23, average reward: 0.18, average loss: 0.31409507325384584
episode: 12700, epsilon: 0.2380000000004055, average steps: 6.32, maximum length: 6, average length: 4.23, average reward: 0.16, average loss: 0.30547300944795386
episode: 12800, epsilon: 0.23200000000040505, average steps: 5.29, maximum length: 6, average length: 4.23, average reward: 0.19, average loss: 0.3107045288750064
episode: 12900, epsilon: 0.2260000000004046, average steps: 5.0, maximum length: 6, average length: 4.18, average reward: -0.06, average loss: 0.3123546592570492
episode: 13000, epsilon: 0.22000000000040415, average steps: 5.41, maximum length: 7, average length: 4.23, average reward: 0.18, average loss: 0.312530753822726
episode: 13100, epsilon: 0.2140000000004037, average steps: 5.14, maximum length: 6, average length: 4.2, average reward: 0.03, average loss: 0.3168408481713357
episode: 13200, epsilon: 0.20800000000040325, average steps: 5.53, maximum length: 6, average length: 4.2, average reward: 0.01, average loss: 0.3154586161659546
episode: 13300, epsilon: 0.2020000000004028, average steps: 4.99, maximum length: 5, average length: 4.15, average reward: -0.25, average loss: 0.31284853798257345
episode: 13400, epsilon: 0.19600000000040235, average steps: 5.99, maximum length: 6, average length: 4.2, average reward: 0.01, average loss: 0.3115357175385257
episode: 13500, epsilon: 0.1900000000004019, average steps: 5.31, maximum length: 6, average length: 4.19, average reward: -0.01, average loss: 0.32547241885276373
episode: 13600, epsilon: 0.18400000000040145, average steps: 4.67, maximum length: 6, average length: 4.17, average reward: -0.14, average loss: 0.3089795936601313
episode: 13700, epsilon: 0.178000000000401, average steps: 5.61, maximum length: 7, average length: 4.25, average reward: 0.31, average loss: 0.3353378163469472
episode: 13800, epsilon: 0.17200000000040055, average steps: 5.38, maximum length: 6, average length: 4.22, average reward: 0.14, average loss: 0.3282555035803687
episode: 13900, epsilon: 0.1660000000004001, average steps: 5.39, maximum length: 5, average length: 4.14, average reward: -0.3, average loss: 0.31879908995663336
episode: 14000, epsilon: 0.16000000000039966, average steps: 5.71, maximum length: 6, average length: 4.22, average reward: 0.13, average loss: 0.3133521975404334
episode: 14100, epsilon: 0.1540000000003992, average steps: 5.47, maximum length: 6, average length: 4.14, average reward: -0.29, average loss: 0.33111205590325854
episode: 14200, epsilon: 0.14800000000039876, average steps: 5.09, maximum length: 5, average length: 4.13, average reward: -0.35, average loss: 0.3226896834929955
episode: 14300, epsilon: 0.1420000000003983, average steps: 5.1, maximum length: 7, average length: 4.22, average reward: 0.14, average loss: 0.32434392045610116
episode: 14400, epsilon: 0.13600000000039786, average steps: 5.68, maximum length: 6, average length: 4.14, average reward: -0.28, average loss: 0.31665691599694673
episode: 14500, epsilon: 0.1300000000003974, average steps: 5.86, maximum length: 7, average length: 4.21, average reward: 0.08, average loss: 0.3210838103096484
episode: 14600, epsilon: 0.12400000000039696, average steps: 5.28, maximum length: 6, average length: 4.26, average reward: 0.34, average loss: 0.3101910040422602
episode: 14700, epsilon: 0.11800000000039651, average steps: 5.35, maximum length: 6, average length: 4.19, average reward: -0.02, average loss: 0.3105813330269629
episode: 14800, epsilon: 0.11200000000039606, average steps: 5.74, maximum length: 6, average length: 4.19, average reward: -0.04, average loss: 0.30782532305382926
episode: 14900, epsilon: 0.10600000000039561, average steps: 5.86, maximum length: 6, average length: 4.3, average reward: 0.54, average loss: 0.3258057824929827
episode: 15000, epsilon: 0.10000000000039516, average steps: 5.36, maximum length: 6, average length: 4.26, average reward: 0.33, average loss: 0.3206730190634842
episode: 15100, epsilon: 0.1, average steps: 5.46, maximum length: 6, average length: 4.14, average reward: -0.29, average loss: 0.309200010798925
episode: 15200, epsilon: 0.1, average steps: 5.63, maximum length: 6, average length: 4.2, average reward: 0.02, average loss: 0.30752683535111386
episode: 15300, epsilon: 0.1, average steps: 5.38, maximum length: 6, average length: 4.21, average reward: 0.07, average loss: 0.3069621942547596
episode: 15400, epsilon: 0.1, average steps: 5.33, maximum length: 6, average length: 4.17, average reward: -0.13, average loss: 0.3017879085731979
episode: 15500, epsilon: 0.1, average steps: 6.26, maximum length: 6, average length: 4.25, average reward: 0.27, average loss: 0.3110794003434607
episode: 15600, epsilon: 0.1, average steps: 5.05, maximum length: 6, average length: 4.16, average reward: -0.18, average loss: 0.30194091485006563
episode: 15700, epsilon: 0.1, average steps: 5.99, maximum length: 8, average length: 4.24, average reward: 0.3, average loss: 0.3075348291936955
episode: 15800, epsilon: 0.1, average steps: 5.45, maximum length: 6, average length: 4.25, average reward: 0.3, average loss: 0.30821074791320163
episode: 15900, epsilon: 0.1, average steps: 5.26, maximum length: 6, average length: 4.2, average reward: 0.01, average loss: 0.32687923070877156
episode: 16000, epsilon: 0.1, average steps: 5.16, maximum length: 5, average length: 4.14, average reward: -0.3, average loss: 0.3245081175466337
episode: 16100, epsilon: 0.1, average steps: 4.98, maximum length: 6, average length: 4.17, average reward: -0.13, average loss: 0.3113822966632829
episode: 16200, epsilon: 0.1, average steps: 4.91, maximum length: 6, average length: 4.22, average reward: 0.14, average loss: 0.3184491461116817
episode: 16300, epsilon: 0.1, average steps: 5.2, maximum length: 6, average length: 4.11, average reward: -0.44, average loss: 0.30892264051860996
episode: 16400, epsilon: 0.1, average steps: 5.8, maximum length: 6, average length: 4.18, average reward: -0.09, average loss: 0.31225706917739443
episode: 16500, epsilon: 0.1, average steps: 4.76, maximum length: 6, average length: 4.21, average reward: 0.06, average loss: 0.3271591306180703
episode: 16600, epsilon: 0.1, average steps: 5.06, maximum length: 6, average length: 4.12, average reward: -0.39, average loss: 0.3228656176907815
episode: 16700, epsilon: 0.1, average steps: 5.29, maximum length: 6, average length: 4.24, average reward: 0.21, average loss: 0.321063989944137
episode: 16800, epsilon: 0.1, average steps: 5.56, maximum length: 6, average length: 4.25, average reward: 0.26, average loss: 0.3024506782279616
episode: 16900, epsilon: 0.1, average steps: 5.46, maximum length: 5, average length: 4.2, average reward: 0.0, average loss: 0.31397758841491613
episode: 17000, epsilon: 0.1, average steps: 5.21, maximum length: 7, average length: 4.19, average reward: 0.0, average loss: 0.32787090629395804
episode: 17100, epsilon: 0.1, average steps: 5.72, maximum length: 6, average length: 4.1, average reward: -0.48, average loss: 0.3141794187177874
episode: 17200, epsilon: 0.1, average steps: 5.6, maximum length: 7, average length: 4.15, average reward: -0.21, average loss: 0.3237136111238085
episode: 17300, epsilon: 0.1, average steps: 5.85, maximum length: 6, average length: 4.21, average reward: 0.1, average loss: 0.3147834649608763
episode: 17400, epsilon: 0.1, average steps: 5.4, maximum length: 7, average length: 4.11, average reward: -0.42, average loss: 0.3061214570405085
episode: 17500, epsilon: 0.1, average steps: 5.63, maximum length: 7, average length: 4.23, average reward: 0.21, average loss: 0.3155563990846045
episode: 17600, epsilon: 0.1, average steps: 5.12, maximum length: 6, average length: 4.16, average reward: -0.16, average loss: 0.3223154297537718
episode: 17700, epsilon: 0.1, average steps: 6.03, maximum length: 8, average length: 4.34, average reward: 0.79, average loss: 0.3213290744104018
episode: 17800, epsilon: 0.1, average steps: 5.78, maximum length: 6, average length: 4.24, average reward: 0.22, average loss: 0.3292879170125961
episode: 17900, epsilon: 0.1, average steps: 5.54, maximum length: 6, average length: 4.18, average reward: -0.08, average loss: 0.31209945093121777
episode: 18000, epsilon: 0.1, average steps: 5.59, maximum length: 6, average length: 4.22, average reward: 0.14, average loss: 0.32328328098282944
episode: 18100, epsilon: 0.1, average steps: 5.36, maximum length: 6, average length: 4.17, average reward: -0.13, average loss: 0.31294304074425605
episode: 18200, epsilon: 0.1, average steps: 6.23, maximum length: 6, average length: 4.19, average reward: -0.04, average loss: 0.3199343028294779
episode: 18300, epsilon: 0.1, average steps: 5.24, maximum length: 7, average length: 4.17, average reward: -0.11, average loss: 0.2962376682128338
episode: 18400, epsilon: 0.1, average steps: 5.7, maximum length: 6, average length: 4.2, average reward: 0.01, average loss: 0.3077063309819271
episode: 18500, epsilon: 0.1, average steps: 5.42, maximum length: 6, average length: 4.19, average reward: -0.03, average loss: 0.3342992017421349
episode: 18600, epsilon: 0.1, average steps: 4.96, maximum length: 6, average length: 4.23, average reward: 0.19, average loss: 0.3091053738554996
episode: 18700, epsilon: 0.1, average steps: 6.12, maximum length: 7, average length: 4.15, average reward: -0.21, average loss: 0.3171313538672787
episode: 18800, epsilon: 0.1, average steps: 5.38, maximum length: 8, average length: 4.24, average reward: 0.3, average loss: 0.30712240199898516
episode: 18900, epsilon: 0.1, average steps: 4.76, maximum length: 5, average length: 4.12, average reward: -0.4, average loss: 0.3128462335417611
episode: 19000, epsilon: 0.1, average steps: 5.64, maximum length: 7, average length: 4.26, average reward: 0.34, average loss: 0.3208682512537594
episode: 19100, epsilon: 0.1, average steps: 6.09, maximum length: 7, average length: 4.24, average reward: 0.26, average loss: 0.3226430338110704
episode: 19200, epsilon: 0.1, average steps: 5.83, maximum length: 8, average length: 4.22, average reward: 0.17, average loss: 0.32577772409122796
episode: 19300, epsilon: 0.1, average steps: 5.72, maximum length: 6, average length: 4.15, average reward: -0.24, average loss: 0.3139197309443147
episode: 19400, epsilon: 0.1, average steps: 6.13, maximum length: 7, average length: 4.27, average reward: 0.44, average loss: 0.3106101196807082
episode: 19500, epsilon: 0.1, average steps: 5.46, maximum length: 6, average length: 4.16, average reward: -0.17, average loss: 0.3235095800167843
episode: 19600, epsilon: 0.1, average steps: 5.71, maximum length: 7, average length: 4.3, average reward: 0.6, average loss: 0.321819448617929
episode: 19700, epsilon: 0.1, average steps: 5.35, maximum length: 7, average length: 4.27, average reward: 0.41, average loss: 0.32545474463993945
episode: 19800, epsilon: 0.1, average steps: 5.69, maximum length: 6, average length: 4.27, average reward: 0.4, average loss: 0.31441908413229985
episode: 19900, epsilon: 0.1, average steps: 6.28, maximum length: 5, average length: 4.15, average reward: -0.25, average loss: 0.3274221468297936
episode: 20000, epsilon: 0.1, average steps: 6.52, maximum length: 7, average length: 4.16, average reward: -0.14, average loss: 0.3137629267369286
